experiment_id,experiment_label,publication_status,source_workbook,source_row,source_column,host,host_type,plant_id,plant_number,treatment_class,isolate_1,isolate_2,mixture_ratio,total_dose_conidia_per_ml,component_dose_conidia_per_ml,condition_id,technical_subsamples,plant_mean_score,raw_code
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,10,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP170,,,100000,100000,E1_BTx398_AMP155_AMP170|AMP170|100000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,10,5,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP170,,,50000,50000,E1_BTx398_AMP155_AMP170|AMP170|50000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,10,6,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP170,,,10000,10000,E1_BTx398_AMP155_AMP170|AMP170|10000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,10,7,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP170,,,5000,5000,E1_BTx398_AMP155_AMP170|AMP170|5000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,11,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P02,2,single,AMP170,,,1000000,1000000,E1_BTx398_AMP155_AMP170|AMP170|1000000,3,2.0,222
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,11,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P02,2,single,AMP170,,,500000,500000,E1_BTx398_AMP155_AMP170|AMP170|500000,3,2.3333333333333335,322
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,11,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P02,2,single,AMP170,,,100000,100000,E1_BTx398_AMP155_AMP170|AMP170|100000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,11,5,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P02,2,single,AMP170,,,50000,50000,E1_BTx398_AMP155_AMP170|AMP170|50000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,11,6,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P02,2,single,AMP170,,,10000,10000,E1_BTx398_AMP155_AMP170|AMP170|10000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,11,7,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P02,2,single,AMP170,,,5000,5000,E1_BTx398_AMP155_AMP170|AMP170|5000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,12,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P03,3,single,AMP170,,,1000000,1000000,E1_BTx398_AMP155_AMP170|AMP170|1000000,3,1.3333333333333333,112
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,12,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P03,3,single,AMP170,,,500000,500000,E1_BTx398_AMP155_AMP170|AMP170|500000,3,1.6666666666666667,221
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,12,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P03,3,single,AMP170,,,100000,100000,E1_BTx398_AMP155_AMP170|AMP170|100000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,12,5,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P03,3,single,AMP170,,,50000,50000,E1_BTx398_AMP155_AMP170|AMP170|50000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,12,6,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P03,3,single,AMP170,,,10000,10000,E1_BTx398_AMP155_AMP170|AMP170|10000,3,1.3333333333333333,211
